Severity,Humidity(%),Weather_Condition,Bump,Crossing,Junction,Roundabout,Stop,Traffic_Signal,Sunrise_Sunset,Temperature_C,Wind_Speed_ms,Visibility_km,Hour,DayOfWeek
4,20.0,142,0,0,0,0,0,0,1,27.8,5.1,16.1,12,1
4,33.0,90,0,0,0,0,0,0,1,12.8,0.0,16.1,0,3
2,39.0,32,0,0,0,0,1,0,1,19.4,0.0,16.1,10,0
4,87.0,36,0,0,0,0,0,0,1,6.0,2.1,16.1,18,0
2,55.0,32,0,0,0,0,0,1,1,30.0,4.5,16.1,15,3
2,46.0,40,0,1,0,0,0,1,1,34.4,3.1,16.1,13,4
2,66.0,90,0,0,0,0,0,0,1,7.2,1.3,16.1,18,6
2,70.0,15,0,0,0,0,0,0,1,-13.3,6.3,3.2,8,4
2,48.0,90,0,0,0,0,0,0,1,11.7,4.5,16.1,8,4
2,100.0,15,0,0,1,0,0,0,1,0.0,0.0,1.2,11,5
2,46.0,142,0,1,0,0,0,1,1,7.2,5.1,16.1,12,5
2,14.0,90,0,1,0,0,0,0,1,26.7,3.6,16.1,13,2
2,88.0,122,0,0,1,0,0,0,1,-3.3,5.8,0.4,17,5
2,78.0,90,0,0,0,0,0,1,1,21.1,1.3,16.1,7,1
2,63.0,40,0,0,0,0,0,0,1,28.9,6.2,16.1,14,1
2,76.0,32,0,0,0,0,0,0,1,10.0,4.0,16.1,14,3
2,32.0,142,0,0,1,0,1,0,1,-3.3,6.7,16.1,18,1
2,84.0,90,0,0,0,0,0,0,1,19.4,1.3,16.1,8,4
2,65.0,14,0,0,1,0,0,0,1,7.2,7.2,16.1,8,4
2,47.0,36,0,0,0,0,0,1,1,5.6,3.6,16.1,8,2
2,56.0,14,0,0,0,0,0,0,1,19.4,4.0,16.1,20,4
2,68.0,90,0,0,0,0,0,1,1,21.7,3.1,16.1,21,6
2,78.0,32,0,0,0,0,0,0,1,18.3,3.1,16.1,23,2
2,59.0,40,0,0,0,0,0,1,1,26.4,3.6,16.1,9,2
2,37.0,90,0,0,0,0,0,0,1,25.6,2.7,16.1,11,3
2,40.0,90,0,0,0,0,0,0,1,11.1,3.1,16.1,15,6
2,82.0,32,0,0,1,0,0,0,1,24.4,5.8,16.1,16,6
2,16.0,90,0,0,0,0,0,0,1,22.2,0.0,16.1,11,4
3,93.0,15,0,0,0,0,0,0,1,-2.8,5.4,1.2,18,4
3,73.0,32,0,0,0,0,0,0,1,18.9,3.6,16.1,18,1
2,45.0,90,0,0,0,0,0,0,1,27.2,0.0,16.1,9,2
2,88.0,15,0,0,0,0,0,1,1,-8.9,3.1,3.2,4,1
3,65.0,14,0,0,0,0,0,0,1,3.9,3.1,16.1,6,3
2,83.0,90,0,0,0,0,0,0,1,15.6,2.2,16.1,6,4
2,7.0,32,0,0,1,0,0,0,1,25.6,0.0,16.1,16,1
2,18.0,40,0,0,0,0,0,0,1,27.2,0.0,16.1,15,4
2,14.0,32,0,1,0,0,0,1,1,32.8,8.0,16.1,16,1
3,81.0,36,0,0,0,0,0,0,1,5.9,5.1,16.1,17,0
2,93.0,92,0,0,1,0,0,0,1,8.9,6.3,1.6,15,1
2,67.0,32,0,0,0,0,0,1,1,16.1,7.2,16.1,7,3
3,90.0,14,0,0,0,0,0,0,1,9.4,4.0,11.3,8,6
2,89.0,14,0,0,0,0,1,0,1,4.4,2.7,16.1,7,0
3,65.0,32,0,0,0,0,0,0,1,27.2,5.4,16.1,18,4
2,69.0,36,0,0,0,0,0,0,1,24.4,2.1,16.1,8,2
2,84.0,32,0,0,0,0,0,0,1,20.0,5.4,16.1,21,0
2,17.0,142,0,0,0,0,0,0,1,32.8,3.6,16.1,14,3
2,93.0,90,0,1,0,0,0,1,1,8.9,0.0,16.1,7,2
3,100.0,44,0,0,0,0,0,0,1,19.0,3.6,8.0,10,3
2,72.0,36,0,0,1,0,0,0,1,17.2,3.1,16.1,7,0
2,48.0,90,0,0,0,0,0,0,1,22.2,4.5,16.1,17,1
4,90.0,36,0,0,0,0,0,0,1,15.0,3.1,16.1,21,0
2,54.0,32,0,0,1,0,0,0,1,24.4,5.4,16.1,2,6
2,44.0,90,0,1,0,0,1,1,1,19.4,0.0,16.1,8,4
2,45.0,90,0,0,1,0,0,0,1,0.0,3.1,16.1,8,3
2,90.0,90,0,1,0,0,0,1,1,16.1,1.3,16.1,8,3
2,97.0,5,0,0,0,0,0,0,1,9.4,3.1,3.2,8,4
2,62.0,142,0,0,1,0,0,0,1,24.4,2.6,16.1,10,1
3,37.0,36,0,0,0,0,0,0,1,1.1,5.7,16.1,15,4
3,32.0,40,0,0,0,0,0,0,1,16.7,9.8,16.1,18,2
2,69.0,90,0,0,0,0,0,0,1,15.0,0.0,16.1,8,4
3,73.0,90,0,0,0,0,0,0,1,5.6,1.3,16.1,16,4
3,8.0,90,0,1,0,0,0,1,1,40.6,3.1,16.1,14,1
2,60.0,90,0,0,0,0,1,0,1,15.0,2.2,16.1,17,4
2,88.0,32,0,0,0,0,0,0,1,21.0,3.6,16.1,6,0
2,45.0,90,0,0,0,0,0,0,1,21.7,0.0,16.1,14,4
2,37.0,90,0,0,0,0,0,0,1,27.8,8.0,16.1,13,2
2,64.0,14,0,0,0,0,0,1,1,-1.1,3.1,16.1,6,4
2,77.0,32,0,0,0,0,0,0,1,26.1,2.1,16.1,20,2
2,13.0,90,0,0,0,0,0,0,1,26.1,4.0,16.1,8,4
2,61.0,90,0,0,0,0,0,0,1,22.2,4.5,16.1,16,5
3,20.0,142,0,0,0,0,0,0,1,8.9,2.6,16.1,21,3
3,9.0,90,0,0,0,0,0,0,1,24.4,3.6,16.1,13,5
2,92.0,36,0,0,0,0,0,0,1,-5.0,2.6,11.3,7,4
2,89.0,5,0,1,0,0,0,0,1,8.9,3.1,16.1,10,0
2,79.0,14,0,0,0,0,0,0,1,-7.8,2.7,8.0,17,4
3,35.0,32,0,0,0,0,0,0,1,21.7,2.7,16.1,14,3
2,84.0,36,0,0,0,0,0,0,1,26.1,6.2,16.1,17,3
2,100.0,5,0,0,0,0,0,0,1,23.0,4.6,4.8,11,2
2,87.0,14,0,0,0,0,0,0,1,18.9,5.4,9.7,14,2
2,83.0,90,0,0,0,0,0,0,1,21.1,2.2,16.1,23,5
2,29.0,32,0,0,0,0,0,1,1,15.0,8.0,16.1,14,5
2,13.0,90,0,0,0,0,0,0,1,25.6,1.3,16.1,15,0
2,83.0,14,0,0,0,0,0,0,1,13.9,3.6,16.1,3,3
2,17.0,90,0,0,0,0,0,0,1,16.7,1.3,16.1,14,2
2,94.0,14,0,0,0,0,0,0,1,11.1,4.5,9.7,11,0
2,57.0,41,0,0,0,0,0,0,1,29.4,9.4,16.1,18,3
2,45.0,142,0,0,0,0,0,0,1,26.1,3.1,16.1,18,3
3,68.0,36,0,0,0,0,0,1,1,10.6,6.7,16.1,18,3
2,67.0,14,0,0,0,0,0,0,1,18.3,0.0,16.1,14,2
3,51.0,142,0,0,0,0,0,0,1,7.8,2.1,16.1,3,5
2,94.0,90,0,0,0,0,0,0,1,25.0,2.2,16.1,8,1
2,54.0,40,0,1,0,0,0,1,1,27.8,3.6,16.1,18,2
2,57.0,32,0,0,0,0,0,0,1,30.0,8.8,16.1,16,5
2,86.0,90,0,0,0,0,0,0,1,9.4,0.0,12.9,8,4
2,88.0,15,0,0,0,0,0,0,1,-7.8,8.0,1.6,8,5
2,93.0,14,0,0,0,0,0,0,1,7.2,1.3,9.7,22,5
3,58.0,90,0,0,0,0,0,0,1,-2.8,1.3,16.1,19,3
3,59.0,101,0,0,0,0,0,0,1,32.2,6.3,11.3,12,4
2,64.0,90,0,0,0,0,0,0,1,18.9,0.0,16.1,8,1
2,42.0,142,0,0,0,0,0,0,1,25.6,3.6,16.1,11,2
2,86.0,44,0,1,0,0,0,1,1,7.2,1.6,6.4,9,3
2,90.0,90,0,1,0,0,1,0,1,25.6,3.6,16.1,23,5
2,73.0,90,0,0,0,0,0,0,1,19.4,1.3,16.1,10,1
2,39.0,90,0,0,0,0,0,0,1,26.1,4.5,16.1,20,0
3,65.0,36,0,0,0,0,0,0,1,20.0,6.7,16.1,11,4
3,93.0,36,0,0,0,0,0,0,1,7.0,7.2,4.8,16,2
2,60.0,14,0,0,0,0,0,0,1,17.8,2.2,16.1,15,0
2,54.0,14,0,0,0,0,0,0,1,16.1,6.7,16.1,8,4
2,80.0,15,0,0,0,0,0,0,1,-13.3,6.7,1.6,8,4
2,65.0,40,0,0,0,0,0,0,1,32.2,6.3,16.1,17,4
2,15.0,90,0,0,0,0,0,0,1,22.8,3.1,16.1,18,2
2,86.0,36,0,0,0,0,0,0,1,15.6,3.1,16.1,11,4
2,87.0,90,0,0,0,0,0,0,1,5.0,1.3,16.1,21,4
4,87.0,14,0,0,1,0,0,0,1,21.1,5.8,16.1,22,5
2,93.0,90,0,0,1,0,0,0,1,5.6,0.0,16.1,7,5
2,70.0,142,0,0,0,0,0,0,1,-11.1,3.1,16.1,1,3
3,90.0,36,0,0,0,0,0,0,1,17.2,1.6,6.4,11,0
2,58.0,40,0,0,0,0,0,0,1,30.0,0.0,16.1,14,3
2,87.0,6,0,0,0,0,0,0,1,13.9,13.0,6.4,18,2
2,45.0,32,0,0,0,0,0,0,1,18.9,3.6,16.1,16,3
2,86.0,44,0,0,0,0,0,0,1,7.8,7.2,4.8,14,0
2,15.0,40,0,0,0,0,1,0,1,30.6,2.7,16.1,22,0
4,65.0,101,0,0,0,0,0,0,1,-4.4,6.7,2.9,9,2
2,55.0,90,0,0,0,0,0,0,1,22.2,4.0,16.1,8,4
2,71.0,36,0,0,0,0,0,0,1,10.0,11.8,16.1,16,2
2,35.0,90,0,0,0,0,0,0,1,20.0,3.6,16.1,21,5
2,62.0,32,0,0,0,0,0,0,1,3.9,4.0,16.1,16,5
2,66.0,14,0,0,0,0,0,1,1,19.4,3.6,16.1,7,4
2,98.0,90,0,0,0,0,0,0,1,5.6,2.2,16.1,8,3
2,66.0,36,0,0,0,0,1,0,1,0.0,2.6,16.1,18,2
3,71.0,142,0,0,0,0,0,1,1,25.0,3.1,16.1,22,0
2,38.0,90,0,0,0,0,0,1,1,29.4,5.4,16.1,16,4
2,72.0,14,0,0,1,0,0,0,1,17.2,0.0,16.1,8,4
2,73.0,40,0,0,0,0,0,0,1,21.7,3.6,16.1,7,2
2,100.0,90,0,0,0,0,0,0,1,7.8,0.0,11.3,4,2
2,54.0,32,0,0,0,0,0,0,1,27.8,7.6,16.1,15,1
2,76.0,90,0,1,0,0,0,0,1,23.3,2.7,16.1,5,4
2,86.0,14,0,0,0,0,0,1,1,8.3,7.6,16.1,7,2
2,59.0,32,0,1,0,0,0,1,1,18.9,7.2,16.1,13,4
2,48.0,40,0,0,1,0,0,0,1,17.8,7.2,16.1,15,4
2,43.0,142,0,0,1,0,0,0,1,29.4,3.6,16.1,12,3
2,28.0,90,0,0,0,0,0,0,1,18.3,4.0,16.1,17,0
2,49.0,90,0,0,0,0,0,0,1,20.6,2.7,16.1,20,3
2,11.0,90,0,0,0,0,0,0,1,13.9,6.7,16.1,8,4
2,81.0,90,0,0,0,0,0,0,1,14.4,0.0,16.1,8,4
2,65.0,142,0,0,1,0,0,0,1,-7.2,3.1,16.1,9,3
2,75.0,90,0,0,1,0,0,0,1,2.2,2.7,16.1,8,4
2,76.0,32,0,0,0,0,0,0,1,20.0,1.3,16.1,17,1
2,58.0,90,0,0,0,0,0,0,1,31.1,5.4,16.1,8,4
4,21.0,90,0,1,0,0,0,0,1,28.3,0.0,16.1,22,0
2,99.0,32,0,0,1,0,0,0,1,22.2,0.0,16.1,5,2
2,77.0,142,0,0,0,0,0,0,1,12.0,4.6,16.1,7,3
2,72.0,90,0,0,0,0,0,0,1,30.0,1.3,16.1,9,1
2,37.0,142,0,0,0,0,0,0,1,17.0,3.1,16.1,13,1
2,16.0,91,0,0,0,0,0,0,1,17.2,10.3,16.1,23,1
2,21.0,90,0,0,0,0,0,1,1,31.1,4.5,16.1,14,5
3,46.0,90,0,0,0,0,0,0,1,18.9,2.7,16.1,18,3
2,68.0,90,0,0,0,0,0,0,1,-6.1,6.3,16.1,8,0
