LogID,LocationID,CurrentSpeed,NormalSpeed,TrafficStatus,RecordedAt,LocationName,City,Latitude,Longitude,Temperature_C,Humidity_Pct,Wind_Speed_ms,Weather_Condition
1,1,16,16,Free Flow,2026-08-28 03:13:42.833,Stanley Bridge,Alexandria,31.2291,29.9575,26.79,77,4.29,clear sky
2,2,25,25,Free Flow,2026-08-28 03:13:43.603,Corniche - San Stefano,Alexandria,31.2465,29.9723,26.79,77,4.29,clear sky
3,3,22,22,Free Flow,2026-08-28 03:13:44.360,Corniche - Gleem,Alexandria,31.2391,29.9654,26.79,77,4.29,clear sky
4,4,22,22,Free Flow,2026-08-28 03:13:45.123,Corniche - Roushdy,Alexandria,31.2365,29.9621,26.79,77,4.29,clear sky
5,5,27,27,Free Flow,2026-08-28 03:13:45.910,Corniche - Sporting,Alexandria,31.2214,29.9482,26.79,77,4.29,clear sky
6,6,27,27,Free Flow,2026-08-28 03:13:46.670,Corniche - Ibrahimia,Alexandria,31.2145,29.9412,26.79,77,4.29,clear sky
7,7,38,38,Free Flow,2026-08-28 03:13:47.423,Corniche - Camp Cesar,Alexandria,31.2098,29.9365,26.79,77,4.29,clear sky
8,8,26,26,Free Flow,2026-08-28 03:13:48.170,Corniche - Chatby,Alexandria,31.2012,29.9284,26.79,77,4.29,clear sky
9,9,27,27,Free Flow,2026-08-28 03:13:48.943,Corniche - Silsela,Alexandria,31.2054,29.8965,26.79,77,4.29,clear sky
10,10,17,17,Free Flow,2026-08-28 03:13:49.697,Corniche - Citadel Qaitbay,Alexandria,31.2123,29.8854,26.79,77,4.29,clear sky
11,11,34,34,Free Flow,2026-08-28 03:13:50.473,Corniche - Miami,Alexandria,31.2825,30.0152,26.79,77,4.29,clear sky
12,12,34,34,Free Flow,2026-08-28 03:13:51.237,Corniche - Montaza,Alexandria,31.2871,30.0214,26.79,77,4.29,clear sky
13,13,34,34,Free Flow,2026-08-28 03:13:51.997,Abu Qir Road - Victoria,Alexandria,31.2412,29.9854,26.79,77,4.29,clear sky
14,14,22,22,Free Flow,2026-08-28 03:13:52.837,Abu Qir Road - Fleming,Alexandria,31.2354,29.9741,26.79,77,4.29,clear sky
15,15,18,18,Free Flow,2026-08-28 03:13:53.600,Abu Qir Road - Sidi Gaber,Alexandria,31.2215,29.9354,26.79,77,4.29,clear sky
16,16,60,60,Free Flow,2026-08-28 03:13:54.360,Alexandria Desert Road - Carrefour,Alexandria,31.1854,29.9541,26.79,77,4.29,clear sky
17,17,50,50,Free Flow,2026-08-28 03:13:55.110,Alexandria Agriculture Road Entrance,Alexandria,31.2014,30.0254,26.79,77,4.29,clear sky
18,18,48,48,Free Flow,2026-08-28 03:13:55.883,Mahmoudia Axis - Smouha,Alexandria,31.2087,29.9542,26.79,77,4.29,clear sky
19,19,86,86,Free Flow,2026-08-28 03:13:56.667,Alexandria Desert Road - km 21,Alexandria,31.1025,29.8214,26.79,77,4.29,clear sky
20,20,37,37,Free Flow,2026-08-28 03:13:57.437,Kafoury Road,Alexandria,31.0854,29.7541,26.79,77,4.29,clear sky
21,21,82,82,Free Flow,2026-08-28 03:13:58.207,Borg El Arab Entrance,Alexandria,30.9124,29.5412,26.79,77,4.29,clear sky
22,22,75,75,Free Flow,2026-08-28 03:13:58.970,Cairo-Alex Desert Road - toll gate,Beheira,30.8541,30.1245,24.9,87,1.35,clear sky
23,23,26,26,Free Flow,2026-08-28 03:13:59.770,Agricultural Road - Damanhour,Beheira,31.0412,30.4754,24.9,87,1.35,clear sky
24,24,26,26,Free Flow,2026-08-28 03:14:00.533,Agricultural Road - Tanta Bridge,Gharbia,30.7854,31.0024,25.5,84,1.69,clear sky
25,25,20,20,Free Flow,2026-08-28 03:14:01.317,Agricultural Road - Benha,Qalyubia,30.4612,31.1854,26.92,67,2.0,clear sky
26,26,34,34,Free Flow,2026-08-28 03:14:02.073,Ring Road - Benha Exit,Qalyubia,30.4354,31.2145,26.92,67,2.0,clear sky
27,27,42,42,Free Flow,2026-08-28 03:14:02.897,Ring Road - Shubra El Kheima,Qalyubia,30.1245,31.2451,26.92,67,2.0,clear sky
28,28,11,11,Free Flow,2026-08-28 03:14:03.657,Ring Road - Marg,Cairo,30.1524,31.3452,27.42,57,2.06,clear sky
29,29,79,79,Free Flow,2026-08-28 03:14:04.420,Ring Road - Al Salam City,Cairo,30.1654,31.3854,27.42,57,2.06,clear sky
30,30,77,77,Free Flow,2026-08-28 03:14:05.187,Ring Road - New Cairo Entrance,Cairo,30.0541,31.4251,27.42,57,2.06,clear sky
31,31,66,66,Free Flow,2026-08-28 03:14:05.937,Ring Road - Katameya,Cairo,29.9854,31.3541,27.42,57,2.06,clear sky
32,32,20,20,Free Flow,2026-08-28 03:14:06.693,Ring Road - Maadi,Cairo,29.9621,31.2754,27.42,57,2.06,clear sky
33,33,42,42,Free Flow,2026-08-28 03:14:07.483,Ring Road - Mounib,Giza,29.9821,31.2154,26.41,56,3.52,clear sky
34,34,13,13,Free Flow,2026-08-28 03:14:08.240,Ring Road - Mariouteya,Giza,29.9754,31.1542,26.41,56,3.52,clear sky
35,35,14,14,Free Flow,2026-08-28 03:14:09.000,Ring Road - El Waraq,Giza,30.0854,31.2014,26.41,56,3.52,clear sky
36,36,27,27,Free Flow,2026-08-28 03:14:09.770,Ring Road - Mohandessin Axis,Giza,30.0654,31.1925,26.41,56,3.52,clear sky
37,37,16,16,Free Flow,2026-08-28 03:14:10.527,October Bridge - Ramses,Cairo,30.0565,31.2442,27.42,57,2.06,clear sky
38,38,20,20,Free Flow,2026-08-28 03:14:11.293,October Bridge - Tahrir Sq,Cairo,30.0444,31.2357,27.42,57,2.06,clear sky
39,39,21,21,Free Flow,2026-08-28 03:14:12.057,October Bridge - Zamalek,Cairo,30.0621,31.2215,27.42,57,2.06,clear sky
40,40,30,30,Free Flow,2026-08-28 03:14:12.930,October Bridge - Doqqi,Giza,30.0454,31.2145,26.41,56,3.52,clear sky
41,41,18,23,Moderate,2026-08-28 03:14:13.693,October Bridge - Mohandessin End,Giza,30.0541,31.1985,26.41,56,3.52,clear sky
42,42,37,37,Free Flow,2026-08-28 03:14:14.457,October Bridge - Nasr City (Abbas El Akkad),Cairo,30.0687,31.3354,27.42,57,2.06,clear sky
43,43,34,34,Free Flow,2026-08-28 03:14:15.223,October Bridge - Al-Manial,Cairo,30.0312,31.2285,27.42,57,2.06,clear sky
44,44,42,42,Free Flow,2026-08-28 03:14:15.993,Salah Salem - Airport Road,Cairo,30.1054,31.3854,27.42,57,2.06,clear sky
45,45,58,58,Free Flow,2026-08-28 03:14:16.770,Salah Salem - Al Azhar,Cairo,30.0454,31.2621,27.42,57,2.06,clear sky
46,46,49,49,Free Flow,2026-08-28 03:14:17.527,Salah Salem - Citadel,Cairo,30.0285,31.2654,27.42,57,2.06,clear sky
47,47,46,46,Free Flow,2026-08-28 03:14:18.287,Salah Salem - Panorama,Cairo,30.0721,31.3154,27.42,57,2.06,clear sky
48,48,20,20,Free Flow,2026-08-28 03:14:19.053,Autostrad - Maadi,Cairo,29.9754,31.2654,27.42,57,2.06,clear sky
49,49,20,20,Free Flow,2026-08-28 03:14:19.810,Autostrad - Helwan,Cairo,29.8541,31.3154,27.42,57,2.06,clear sky
50,50,67,67,Free Flow,2026-08-28 03:14:20.580,Autostrad - Nasr City,Cairo,30.0354,31.3354,27.42,57,2.06,clear sky
51,51,38,38,Free Flow,2026-08-28 03:14:21.343,Corniche - Maspero,Cairo,30.0541,31.2312,27.42,57,2.06,clear sky
52,52,20,20,Free Flow,2026-08-28 03:14:22.110,Corniche - Garden City,Cairo,30.0354,31.2285,27.42,57,2.06,clear sky
53,53,41,41,Free Flow,2026-08-28 03:14:22.943,Corniche - Maadi,Cairo,29.9621,31.2454,27.42,57,2.06,clear sky
54,54,34,34,Free Flow,2026-08-28 03:14:23.703,Qasr El Nil Bridge,Cairo,30.0435,31.2312,27.42,57,2.06,clear sky
55,55,13,13,Free Flow,2026-08-28 03:14:24.470,Abbas Bridge,Cairo,30.0198,31.2312,27.42,57,2.06,clear sky
56,56,28,28,Free Flow,2026-08-28 03:14:25.213,El Galaa Bridge,Cairo,30.0512,31.2214,27.42,57,2.06,clear sky
57,57,37,37,Free Flow,2026-08-28 03:14:25.980,Tahya Masr Bridge,Cairo,30.0954,31.2245,27.42,57,2.06,clear sky
58,58,34,34,Free Flow,2026-08-28 03:14:26.737,Axis 26 July - Lebanon Sq,Giza,30.0612,31.1985,26.41,56,3.52,clear sky
59,59,53,53,Free Flow,2026-08-28 03:14:27.493,Axis 26 July - Hyper One,Giza,30.0714,31.0254,26.41,56,3.52,clear sky
60,60,21,21,Free Flow,2026-08-28 03:14:28.253,Axis 26 July - Juhayna Sq,Giza,29.9714,30.9542,26.41,56,3.52,clear sky
61,61,32,32,Free Flow,2026-08-28 03:14:29.013,محور روض الفرج - شبرا,Qalyubia,30.1025,31.2214,26.92,67,2.0,clear sky
62,62,105,105,Free Flow,2026-08-28 03:14:29.770,محور روض الفرج - الضبعة,Giza,30.0854,30.9854,26.41,56,3.52,clear sky
63,63,39,39,Free Flow,2026-08-28 03:14:30.540,Haram Street - Giza Square,Giza,30.0124,31.2145,26.41,56,3.52,clear sky
64,64,32,32,Free Flow,2026-08-28 03:14:31.303,Haram Street - Al Arish,Giza,29.9954,31.1754,26.41,56,3.52,clear sky
65,65,36,36,Free Flow,2026-08-28 03:14:32.063,Haram Street - El Remaya,Giza,29.9821,31.1354,26.41,56,3.52,clear sky
66,66,39,39,Free Flow,2026-08-28 03:14:32.870,Faisal Street - El Massaha,Giza,30.0254,31.2014,26.41,56,3.52,clear sky
67,67,32,32,Free Flow,2026-08-28 03:14:33.633,Faisal Street - El Talbeya,Giza,29.9921,31.1654,26.41,56,3.52,clear sky
68,68,61,61,Free Flow,2026-08-28 03:14:34.397,King Faisal Street End,Giza,29.9854,31.1245,26.41,56,3.52,clear sky
69,69,83,83,Free Flow,2026-08-28 03:14:35.173,Cairo-Alexandria Desert Road - Smart Village,Giza,30.0714,31.0154,26.41,56,3.52,clear sky
