Incident_ID,Location_Name,Incident_Date,Incident_Time,Incident_Type,Severity,Cause,Road_Delay_Minutes,ADAS_Driver_Status,Temperature_C,Humidity_Pct,Wind_Speed_ms,Weather_Condition,CurrentSpeed,TrafficStatus
INC_100001,El Galaa Bridge,2026-05-20,21:36:01,Accident,Moderate,Speeding,39,STRESS / ANGER DETECTED!,31.2,51,4.0,Clear Sky,30,Moderate Traffic
INC_100002,Abbas Bridge,2026-04-12,05:54:01,Accident,Minor,Speeding,23,STRESS / ANGER DETECTED!,25.5,57,2.3,Clear Sky,20,Moderate Traffic
INC_100003,Zamalek - 26 July St,2026-08-10,21:35:01,Accident,Fatal,Fainting / Sudden Illness,153,SOS: FAINTING / EMERGENCY!,34.2,36,3.9,Clear Sky,13,Heavy Traffic
INC_100004,King Faisal Street End,2026-08-22,17:14:01,Accident,Major,Fainting / Sudden Illness,93,SOS: FAINTING / EMERGENCY!,34.0,62,7.3,Clear Sky,10,Heavy Traffic
INC_100005,Corniche - Miami,2026-08-11,11:48:01,Accident,Moderate,Lack of Attention,30,DISTRACTED: LOOKING AWAY!,30.8,42,2.8,Clear Sky,20,Moderate Traffic
INC_100006,Cairo-Alexandria Desert Road - Sphinx,2026-03-16,02:12:01,Accident,Moderate,Driver Fatigue,50,DROWSY - SLEEPING!,22.1,37,2.7,Cloudy,35,Moderate Traffic
INC_100007,Cairo International Stadium Area,2026-08-27,01:41:01,Accident,Moderate,Driver Fatigue,49,DROWSY - SLEEPING!,25.0,49,2.9,Clear Sky,22,Moderate Traffic
INC_100008,Ring Road - Mariouteya,2026-05-05,16:47:01,Accident,Minor,Sudden Braking,21,STRESS / ANGER DETECTED!,27.0,37,4.0,Clear Sky,20,Moderate Traffic
INC_100009,Helwan - Corniche,2026-04-22,21:16:01,Accident,Major,Driver Fatigue,74,DROWSY - SLEEPING!,25.1,36,4.8,Cloudy,3,Heavy Traffic
INC_100010,Cairo Festival City Area,2026-08-08,00:48:01,Accident,Minor,Speeding,16,STRESS / ANGER DETECTED!,31.8,52,5.7,Clear Sky,80,Free Flow
