LocationName,City,Latitude,Longitude
Stanley Bridge,Alexandria,31.229100,29.957500
Corniche - San Stefano,Alexandria,31.246500,29.972300
Corniche - Gleem,Alexandria,31.239100,29.965400
Corniche - Roushdy,Alexandria,31.236500,29.962100
Corniche - Sporting,Alexandria,31.221400,29.948200
Corniche - Ibrahimia,Alexandria,31.214500,29.941200
Corniche - Camp Cesar,Alexandria,31.209800,29.936500
Corniche - Chatby,Alexandria,31.201200,29.928400
Corniche - Silsela,Alexandria,31.205400,29.896500
Corniche - Citadel Qaitbay,Alexandria,31.212300,29.885400
Corniche - Miami,Alexandria,31.282500,30.015200
Corniche - Montaza,Alexandria,31.287100,30.021400
Abu Qir Road - Victoria,Alexandria,31.241200,29.985400
Abu Qir Road - Fleming,Alexandria,31.235400,29.974100
Abu Qir Road - Sidi Gaber,Alexandria,31.221500,29.935400
Alexandria Desert Road - Carrefour,Alexandria,31.185400,29.954100
Alexandria Agriculture Road Entrance,Alexandria,31.201400,30.025400
Mahmoudia Axis - Smouha,Alexandria,31.208700,29.954200
Alexandria Desert Road - km 21,Alexandria,31.102500,29.821400
Kafoury Road,Alexandria,31.085400,29.754100
Borg El Arab Entrance,Alexandria,30.912400,29.541200
Cairo-Alex Desert Road - toll gate,Beheira,30.854100,30.124500
Agricultural Road - Damanhour,Beheira,31.041200,30.475400
Agricultural Road - Tanta Bridge,Gharbia,30.785400,31.002400
Agricultural Road - Benha,Qalyubia,30.461200,31.185400
Ring Road - Benha Exit,Qalyubia,30.435400,31.214500
Ring Road - Shubra El Kheima,Qalyubia,30.124500,31.245100
Ring Road - Marg,Cairo,30.152400,31.345200
Ring Road - Al Salam City,Cairo,30.165400,31.385400
Ring Road - New Cairo Entrance,Cairo,30.054100,31.425100
Ring Road - Katameya,Cairo,29.985400,31.354100
Ring Road - Maadi,Cairo,29.962100,31.275400
Ring Road - Mounib,Giza,29.982100,31.215400
Ring Road - Mariouteya,Giza,29.975400,31.154200
Ring Road - El Waraq,Giza,30.085400,31.201400
Ring Road - Mohandessin Axis,Giza,30.065400,31.192500
October Bridge - Ramses,Cairo,30.056500,31.244200
October Bridge - Tahrir Sq,Cairo,30.044400,31.235700
October Bridge - Zamalek,Cairo,30.062100,31.221500
October Bridge - Doqqi,Giza,30.045400,31.214500
October Bridge - Mohandessin End,Giza,30.054100,31.198500
October Bridge - Nasr City (Abbas El Akkad),Cairo,30.068700,31.335400
October Bridge - Al-Manial,Cairo,30.031200,31.228500
Salah Salem - Airport Road,Cairo,30.105400,31.385400
Salah Salem - Al Azhar,Cairo,30.045400,31.262100
Salah Salem - Citadel,Cairo,30.028500,31.265400
Salah Salem - Panorama,Cairo,30.072100,31.315400
Autostrad - Maadi,Cairo,29.975400,31.265400
Autostrad - Helwan,Cairo,29.854100,31.315400
Autostrad - Nasr City,Cairo,30.035400,31.335400
Corniche - Maspero,Cairo,30.054100,31.231200
Corniche - Garden City,Cairo,30.035400,31.228500
Corniche - Maadi,Cairo,29.962100,31.245400
Qasr El Nil Bridge,Cairo,30.043500,31.231200
Abbas Bridge,Cairo,30.019800,31.231200
El Galaa Bridge,Cairo,30.051200,31.221400
Tahya Masr Bridge,Cairo,30.095400,31.224500
Axis 26 July - Lebanon Sq,Giza,30.061200,31.198500
Axis 26 July - Hyper One,Giza,30.071400,31.025400
Axis 26 July - Juhayna Sq,Giza,29.971400,30.954200
محور روض الفرج - شبرا,Qalyubia,30.102500,31.221400
محور روض الفرج - الضبعة,Giza,30.085400,30.985400
Haram Street - Giza Square,Giza,30.012400,31.214500
Haram Street - Al Arish,Giza,29.995400,31.175400
Haram Street - El Remaya,Giza,29.982100,31.135400
Faisal Street - El Massaha,Giza,30.025400,31.201400
Faisal Street - El Talbeya,Giza,29.992100,31.165400
King Faisal Street End,Giza,29.985400,31.124500
Cairo-Alexandria Desert Road - Smart Village,Giza,30.071400,31.015400
Cairo-Alexandria Desert Road - Sphinx,Giza,30.021400,30.905400
Wadi El Natrun Road,Beheira,30.454100,30.354100
New Cairo - Teseen Street North,Cairo,30.025400,31.415400
New Cairo - Teseen Street South,Cairo,29.995400,31.445200
New Cairo - American University,Cairo,30.005400,31.502100
New Cairo - Mohamed Naguib Axis,Cairo,30.015400,31.435400
New Cairo - Sadat Axis,Cairo,30.045400,31.425400
Nasr City - Abbas El Akkad,Cairo,30.051200,31.335400
Nasr City - Makram Ebeid,Cairo,30.058700,31.348500
Nasr City - Mostafa El Nahas,Cairo,30.045400,31.352100
Heliopolis - Roxy Sq,Cairo,30.089800,31.325400
Heliopolis - Merghany,Cairo,30.085400,31.335400
Heliopolis - El Khalifa El Mamoun,Cairo,30.078700,31.305400
Maadi - Victoria Square,Cairo,29.954100,31.254100
Maadi - Degla,Cairo,29.960200,31.256500
Zamalek - 26 July St,Cairo,30.065400,31.221400
Downtown - Tahrir Sq,Cairo,30.044400,31.235700
Downtown - Talaat Harb,Cairo,30.051200,31.241200
Dokki - Mesaha Sq,Giza,30.038700,31.214500
Mohandessin - Shehab St,Giza,30.055400,31.201400
Mohandessin - Sudan St,Giza,30.068700,31.205400
Giza - El Omraneya,Giza,29.995400,31.201400
Shubra - Corniche,Cairo,30.085400,31.245400
Shubra - Ahmed Helmy,Cairo,30.068700,31.248500
Ain Shams - El Matareya,Cairo,30.125400,31.315400
Ain Shams University Area,Cairo,30.075400,31.285400
Helwan - Corniche,Cairo,29.845400,31.335400
Helwan University Area,Cairo,29.851200,31.305400
Nasr City - Al-Ahly Club Area,Cairo,30.081200,31.354100
Cairo International Stadium Area,Cairo,30.071400,31.315400
Cairo Festival City Area,Cairo,30.031200,31.401400
Maadi - Ring Road Carrefour,Cairo,29.971400,31.295400
